,calibrated_probability,staged_mean,staged_std,staged_p10,staged_p90
count,4040.0,4040.0,4040.0,4040.0,4040.0
mean,0.06468240813511836,0.06041586782227144,0.001379842876546393,0.05883400166930449,0.06217763894802634
std,0.1939683597799091,0.1964863333381312,0.0033889861617391317,0.19482071259561573,0.1983722469683614
min,0.0001514137428119826,5.540631396086114e-05,1.4712064898252429e-05,3.697390322698816e-05,7.874417118823984e-05
25%,0.0013876665272512152,0.000559862590838417,7.560429839797674e-05,0.00046329908223563326,0.00067117961656526
50%,0.003936482418974846,0.0018387284465683571,0.00021775222712391116,0.0015805619188906167,0.0021227716159355394
75%,0.01753905870047888,0.010202348806086208,0.0009803841107191161,0.00893876039502059,0.01154109629159468
max,0.9931518910726277,0.9952662089671961,0.04715316300243994,0.9942437947859583,0.9965473828346544
