,calibrated_probability,staged_mean,staged_std,staged_p10,staged_p90
count,3719.0,3719.0,3719.0,3719.0,3719.0
mean,0.0749157802476955,0.08864522207377949,0.0016676811715665174,0.08668278655526968,0.09068079891282328
std,0.201974788894527,0.2091144652318963,0.0019917141464414565,0.2089065178704854,0.20934232464335265
min,0.001216971110852571,0.0011673926651386854,5.409262225538552e-05,0.0010138534996613183,0.0013824590941631629
25%,0.0104390135891846,0.012306718649648728,0.0004826489693823923,0.011549656255482686,0.013023133263170589
50%,0.019298201316428436,0.024798445718140796,0.0009603378967380028,0.02336485229344102,0.025969532741069144
75%,0.04076453770758184,0.05750574813191793,0.002009977642446532,0.05429203257586397,0.06091662623908231
max,0.9914963205751767,0.9979557227712537,0.015875568285459288,0.9977328296976288,0.9982189974004373
