incentive_bucket,loans,adverse_credit,base,high_prepayment,delta_adverse_credit,delta_high_prepayment
<-1.0,260,0.10945211457626465,0.10565952607341185,0.09549500063190207,0.0037925885028528006,-0.01016452544150978
0.5 to 1.0,223,0.2548808456948972,0.2521065275534839,0.48752240066885755,0.0027743181414133233,0.23541587311537365
-1.0 to -0.5,136,0.07705286946344268,0.07598181706926292,0.08716235476532601,0.0010710523941797612,0.011180537696063086
0 to 0.5,132,0.3053488233636384,0.3049683430528143,0.440345287523864,0.00038048031082410505,0.1353769444710497
-0.5 to 0,112,0.09405262295413164,0.0982250582262191,0.11633143982617308,-0.004172435272087466,0.01810638159995398
>1.0,612,0.14376813683074177,0.1482446762327752,0.32209932809559005,-0.004476539402033436,0.17385465186281485
