n,positive_rate,roc_auc,pr_auc,pr_auc_lift_over_base,best_f1,best_f1_threshold,precision_at_best_f1,recall_at_best_f1,recall_at_precision_30,threshold_at_precision_30,recall_at_precision_50,threshold_at_precision_50,brier,log_loss,ks,lift_at_10pct,target,split,model,ece
4040,0.08094059405940594,0.5,0.08094059405940594,1.0,0.14975956033890545,0.058067269478008054,0.08094059405940594,1.0,0.0,,0.0,,0.0749124032701224,0.2853487616293725,0.1130650141539232,0.7339449541284403,next_3m_delinquency_flag,valid,prior,0.0
4040,0.08094059405940594,0.9117663288997827,0.7685773896325095,9.495573865796143,0.7949640287769785,0.8036681683334298,0.9650655021834061,0.6758409785932722,0.8042813455657493,0.36243442734740355,0.7614678899082569,0.5168279429354925,0.07671857491305131,0.2893321667102522,0.7257260423126943,7.553516819571865,next_3m_delinquency_flag,valid,baseline_logistic,0.17673275513918268
4040,0.08094059405940594,0.9223259709871342,0.799148387229075,9.87327059451212,0.7938144329896907,0.2575130607154615,0.9058823529411765,0.7064220183486238,0.8562691131498471,0.044829169002893646,0.8103975535168195,0.08816618892316137,0.026470783166029486,0.11624599656743761,0.7435879062818381,7.6452599388379205,next_3m_delinquency_flag,valid,lgbm_raw,0.010972275885049093
4040,0.08094059405940594,0.9223259709871342,0.799148387229075,9.87327059451212,0.7938144329896907,0.19696730995382672,0.9058823529411765,0.7064220183486238,0.8562691131498471,0.04385101995408187,0.8103975535168195,0.0775459357327053,0.026501215190001693,0.1148980453738223,0.7435879062818381,7.6452599388379205,next_3m_delinquency_flag,valid,lgbm_calibrated,0.00928679112555774
3719,0.06641570314600699,0.5,0.06641570314600699,1.0,0.12455874936964194,0.058067269478008054,0.06641570314600699,1.0,0.0,,0.0,,0.062074353866337466,0.24487759758562794,0.161363784772104,0.4058404356318954,next_3m_delinquency_flag,test,prior,0.0
3719,0.06641570314600699,0.9060570159891042,0.7868432853419954,11.84724768496713,0.8141176470588235,0.9611175714990038,0.9719101123595506,0.7004048582995951,0.8178137651821862,0.4065868440093704,0.7611336032388664,0.5509954142178697,0.07915617150792717,0.28813978157777453,0.7151486035187223,7.589216146316445,next_3m_delinquency_flag,test,baseline_logistic,0.19252062645752183
3719,0.06641570314600699,0.8995317076811136,0.784934545821671,11.818508404497143,0.8177570093457944,0.3483875062663508,0.9668508287292817,0.708502024291498,0.7935222672064778,0.06565189107848948,0.7611336032388664,0.11446379533133863,0.021505644208733285,0.1033528476744088,0.7135942368327768,7.629800189879633,next_3m_delinquency_flag,test,lgbm_raw,0.01774099256326625
3719,0.06641570314600699,0.8995317076811136,0.784934545821671,11.818508404497143,0.8177570093457944,0.2606631790039232,0.9668508287292817,0.708502024291498,0.7935222672064778,0.060437450793819646,0.7611336032388664,0.09684365050852231,0.02094970780076218,0.10065474694463729,0.7135942368327768,7.629800189879633,next_3m_delinquency_flag,test,lgbm_calibrated,0.013577229118571904
3970,0.09319899244332494,0.5,0.09319899244332494,1.0,0.17050691244239632,0.07422212941141373,0.09319899244332494,1.0,0.0,,0.0,,0.08487306158140594,0.31231531953728175,0.11397147147147146,0.9459459459459459,next_6m_delinquency_flag,valid,prior,0.0
3970,0.09319899244332494,0.8744797297297298,0.697155051138864,7.480285278435919,0.6702317290552585,0.8686408127190676,0.9842931937172775,0.5081081081081081,0.7513513513513513,0.43207863375547945,0.6567567567567567,0.6153927535980028,0.11108263056832,0.3647928770146979,0.6006456456456457,6.216216216216217,next_6m_delinquency_flag,valid,baseline_logistic,0.2152709441634776
3970,0.09319899244332494,0.9096929429429429,0.7994479456206351,8.577860389497085,0.7804878048780489,0.3753682730079455,0.8951048951048951,0.6918918918918919,0.8216216216216217,0.0396518952612747,0.7891891891891892,0.10502323826319902,0.03267876326650771,0.1407806244310638,0.728506006006006,7.45945945945946,next_6m_delinquency_flag,valid,lgbm_raw,0.01523399412095987
3970,0.09319899244332494,0.9096929429429429,0.7994479456206351,8.577860389497085,0.7804878048780489,0.3380768965273039,0.8951048951048951,0.6918918918918919,0.8216216216216217,0.04918776003942846,0.7891891891891892,0.11219482299665257,0.03304195185101739,0.13932852089862552,0.728506006006006,7.45945945945946,next_6m_delinquency_flag,valid,lgbm_calibrated,0.015561568159160485
3913,0.0917454638384871,0.5,0.0917454638384871,1.0,0.16807116104868913,0.07422212941141373,0.0917454638384871,1.0,0.0,,0.0,,0.08363530095299103,0.3086472354786506,0.12512951784093562,0.44602440709843344,next_6m_delinquency_flag,test,prior,0.0
