loan_age_months,at_risk,cif_default,cif_prepay,event_free_survival,naive_1_minus_km_default,km_overstatement
0.5,960,0.0,0.020833333333333332,0.9791666666666666,0.0,0.0
1.0,940,0.0,0.04375,0.9562499999999999,0.0,0.0
2.0,933,0.0,0.0539991961414791,0.9460008038585208,0.0,0.0
3.0,929,0.0,0.07232859815380781,0.9276714018461921,0.0,0.0
4.0,922,0.002012302390121892,0.09144547085996578,0.9065422267499122,0.002169197396962863,0.00015689500684097114
5.0,910,0.005000903137649075,0.11236567609265606,0.8826334207696948,0.005458749493456816,0.0004578463558077405
5.5,903,0.005000903137649075,0.11334312174134897,0.8816559751210019,0.005458749493456816,0.0004578463558077405
6.0,902,0.0059783487863419825,0.12214013257958513,0.8718815186340728,0.006561345114861505,0.0005829963285195229
6.5,900,0.0059783487863419825,0.12310888982251188,0.8709127613911462,0.006561345114861505,0.0005829963285195229
7.0,899,0.0059783487863419825,0.1415152774381201,0.852506373775538,0.006561345114861505,0.0005829963285195229
8.0,883,0.007909280550272986,0.1463426068479476,0.8457481126017794,0.008811489293536146,0.0009022087432631592
8.5,875,0.007909280550272986,0.14827574539103736,0.8438149740586895,0.008811489293536146,0.0009022087432631592
9.0,873,0.01177555763645255,0.16084114592112092,0.8273832964424264,0.013353017406738332,0.0015774597702857829
10.0,861,0.01561938247474489,0.17429453285514412,0.8100860846701108,0.017936743225986485,0.002317360751241594
11.0,845,0.016578064231750938,0.1934681679952651,0.7899537677729838,0.0190989482635886,0.002520884031837662
12.0,823,0.019457604089975666,0.20210678756993927,0.7784356083400849,0.02267452925412272,0.003216925164147056
13.0,812,0.019457604089975666,0.21648675570430045,0.7640556402057237,0.02267452925412272,0.003216925164147056
14.0,803,0.020409105509908074,0.22790477274348936,0.7516861217466024,0.023891621994777346,0.003482516484869271
14.5,799,0.020409105509908074,0.22884555637521226,0.7507453381148795,0.023891621994777346,0.003482516484869271
15.0,798,0.025113023668522607,0.24201652721933295,0.7328704491121443,0.030007589275512503,0.004894565606989896
16.0,782,0.026987372643233972,0.25232544658024547,0.7206871807765204,0.03248838827992295,0.005501015636688981
16.5,774,0.026987372643233972,0.25325656696884563,0.7197560603879202,0.03248838827992295,0.005501015636688981
17.0,773,0.03350521536343506,0.26536113202064765,0.7011336526159171,0.04124981296561636,0.007744597602181304
18.0,769,0.035328709908599994,0.27994908838196714,0.6847222017094327,0.04374331150146704,0.008414601592867048
19.0,755,0.0389563772024248,0.2962735912041788,0.6647700315933962,0.04880957210278414,0.009853194900359338
20.0,741,0.04254487939726095,0.3061419722399782,0.6513131483627607,0.053944203292512594,0.011399323895251647
20.5,726,0.04254487939726095,0.3070390977886872,0.6504160228140516,0.053944203292512594,0.011399323895251647
21.0,725,0.046133381592097095,0.31780460437319563,0.6360620140347071,0.05916382148124333,0.013030439889146234
22.0,711,0.05239559551367649,0.33569664414913675,0.6119077603371865,0.06842662492657559,0.016031029412899092
