target,train_window,test_window,column,psi,ks_statistic,severity
next_12m_prepayment_flag,2019-01..2023-03,2024-10..2025-03,source_system,9.079621995879666e-05,,stable
next_12m_prepayment_flag,2019-01..2023-03,2024-10..2025-03,days_past_due,3.975160671739147e-05,0.0029792756525435227,stable
next_12m_prepayment_flag,2019-01..2023-03,2024-10..2025-03,loss_severity_band,,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,remaining_term_months,3.74315048308563,0.4868802437467629,severe
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,loan_age_months,3.4363738192470237,0.6067682839202468,severe
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,servicer_name,1.3608283661802842,,severe
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,interest_rate,0.18681600771964096,0.17693422113912538,moderate
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,loan_purpose,0.02554983690013716,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,original_balance,0.008551949831148297,0.03555448437603681,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,dti_band,0.006063334067297498,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,state,0.004033585603573454,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,current_balance,0.0033235254133893504,0.022140347290934115,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,ltv_band,0.0030558884033024107,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,current_status,0.0027871546814382626,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,occupancy_type,0.0007908381330097155,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,property_type,0.0006239660730326803,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,reporting_lag_days,0.0001476157575839242,0.0032111213408125006,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,credit_score_band,8.667749866782657e-05,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,document_status,8.130137561389071e-05,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,days_past_due,5.169443017464251e-05,0.006762389542282032,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,source_system,2.0734107519935902e-05,,stable
next_3m_delinquency_flag,2019-01..2024-09,2025-07..2025-12,loss_severity_band,,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,remaining_term_months,3.633925477055397,0.47233249486749235,severe
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,loan_age_months,3.505119481904744,0.5978600261095123,severe
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,servicer_name,1.2782881844505347,,severe
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,interest_rate,0.28858916596218326,0.21457765440530807,severe
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,loan_purpose,0.0382194920856956,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,original_balance,0.01209035590676867,0.042190671012999226,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,dti_band,0.008713848954652513,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,state,0.005664842464011552,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,ltv_band,0.004343473507954944,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,current_balance,0.0021266054841861874,0.015124949675157928,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,current_status,0.001997368332704735,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,occupancy_type,0.0010845524238403661,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,property_type,0.0009003097310855831,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,reporting_lag_days,0.00024606962819262906,0.003553167180612854,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,credit_score_band,0.00010792999408296405,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,source_system,8.821937183837536e-05,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,document_status,5.99417414470266e-05,,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,days_past_due,1.2676007988831632e-05,0.004976282120314535,stable
next_6m_delinquency_flag,2019-01..2024-03,2025-04..2025-09,loss_severity_band,,,stable
