n,positive_rate,roc_auc,pr_auc,pr_auc_lift_over_base,best_f1,best_f1_threshold,precision_at_best_f1,recall_at_best_f1,recall_at_precision_30,threshold_at_precision_30,recall_at_precision_50,threshold_at_precision_50,brier,log_loss,ks,lift_at_10pct,target,split,model,ece
3913,0.12956810631229235,0.5,0.12956810631229235,1.0,0.22941176470588232,0.12508728419734655,0.12956810631229235,1.0,0.0,,0.0,,0.11280028990576466,0.3856556761236615,0.025919568785100267,0.8685159682602138,exception_required,valid,prior,0.0
3913,0.12956810631229235,0.535985921120751,0.1529523768033884,1.180478600456921,0.23897186523098302,0.4890533071806049,0.14502529510961215,0.6785009861932939,0.015779092702169626,0.6204946798253032,0.009861932938856016,0.8724851933556104,0.24686158561382765,0.6872381088042718,0.08361564057394943,1.1646009574398322,exception_required,valid,baseline_logistic,0.36642557713226986
3913,0.12956810631229235,0.9660857797065394,0.851892626229817,6.574863602440383,0.8498683055311675,0.6477518749385637,0.7658227848101266,0.9546351084812623,0.9723865877712031,0.02029377680439691,0.9684418145956607,0.0236275827111412,0.03523431769662754,0.12801600583007192,0.9161359290543084,6.434913764837039,exception_required,valid,lgbm_raw,0.028741327934568003
3913,0.12956810631229235,0.9660857797065394,0.851892626229817,6.574863602440383,0.8498683055311675,0.4727405437953406,0.7658227848101266,0.9546351084812623,0.9723865877712031,0.004574216442799261,0.9684418145956607,0.005486689851368895,0.03299765832084393,0.11555132404955375,0.9161359290543084,6.434913764837039,exception_required,valid,lgbm_calibrated,0.006982415107809699
3480,0.13045977011494253,0.5,0.13045977011494253,1.0,0.2308083375699034,0.12508728419734655,0.13045977011494253,1.0,0.0,,0.0,,0.11346888210143363,0.3873900624078849,0.04208606176718077,0.8810572687224669,exception_required,test,prior,0.0
3480,0.13045977011494253,0.5326145505472396,0.17018832114332627,1.3045272193365098,0.23957158962795938,0.4788411718279121,0.13736263736263737,0.9361233480176211,0.046255506607929514,0.579450698436927,0.022026431718061675,0.6227619345392622,0.24419267221377736,0.6812779253340763,0.061497855589298045,1.3436123348017621,exception_required,test,baseline_logistic,0.36308630950682397
3480,0.13045977011494253,0.9641870310466414,0.8326997069491302,6.382808326394214,0.863095238095238,0.5675143562748802,0.7851985559566786,0.9581497797356828,0.9713656387665198,0.019906719211192116,0.9625550660792952,0.02289021255554671,0.032885513088827575,0.12334613729082226,0.9193742338790687,6.475770925110132,exception_required,test,lgbm_raw,0.023575030954098408
3480,0.13045977011494253,0.9641870310466414,0.8326997069491302,6.382808326394214,0.863095238095238,0.3761699631544488,0.7851985559566786,0.9581497797356828,0.9713656387665198,0.004470222944414753,0.9625550660792952,0.005282356411106506,0.0317933850982245,0.11454493107388877,0.9193742338790687,6.475770925110132,exception_required,test,lgbm_calibrated,0.006371960298967945
