vintage_year,loans,adverse_credit,base,high_prepayment,delta_adverse_credit,delta_high_prepayment
2024,176,0.1586380635470551,0.15626306535335308,0.16328314480436482,0.002374998193702016,0.00702007945101174
2023,125,0.21441045300043612,0.2126453779279965,0.22429716477164688,0.0017650750724396147,0.011651786843650369
2025,120,0.06188537934662682,0.06035406809853705,0.08201212240955202,0.0015313112480897714,0.021658054311014974
2015,125,0.1781926134141864,0.1772343725026456,0.17690804271435914,0.0009582409115408141,-0.0003263297882864502
2016,133,0.17101039605298135,0.17021245867159995,0.1703667727373083,0.0007979373813813972,0.00015431406570834416
2027,3,0.004196976928065759,0.0035491998331040283,0.004180367007444127,0.0006477770949617303,0.0006311671743400985
2019,144,0.19042719843608935,0.1898887746950246,0.18989431008748525,0.0005384237410647474,5.53539246064827e-06
2017,151,0.17424677609148748,0.1738097625323112,0.17405432582243538,0.0004370135591762747,0.0002445632901241779
2018,123,0.2539582242032507,0.25377718013600387,0.25423012576296883,0.0001810440672468383,0.0004529456269649623
2020,132,0.24705902675104624,0.24701726674221644,0.244564532905169,4.17600088297998e-05,-0.002452733837047444
2026,2,0.0016801504386309155,0.0017268230414526024,0.001931613669177572,-4.667260282168687e-05,0.0002047906277249697
2022,142,0.16767333233116732,0.16800779230182092,0.16847989254250112,-0.00033445997065359445,0.00047210024068020107
2021,124,0.18266728953139513,0.18307337346477828,0.1746221648843427,-0.0004060839333831501,-0.008451208580435576
