,calibrated_probability,staged_mean,staged_std,staged_p10,staged_p90
count,4040.0,4040.0,4040.0,4040.0,4040.0
mean,0.14309028574531824,0.13739742561336485,0.003307485431960067,0.13350723706350862,0.14140252403535966
std,0.2255620982016477,0.20848502548957665,0.003979475702774559,0.205286747799738,0.21163164073682206
min,1e-06,0.00019620399735138273,2.220933499154031e-05,0.00017340451569991332,0.00022980263578491336
25%,0.03006012024048096,0.007213441087133612,0.0003939851148805062,0.006748360019666965,0.007750775578024693
50%,0.03006012024048096,0.028531957974683348,0.0014294408314052434,0.026861192666694216,0.03054844984489293
75%,0.14563106796116504,0.1814870046409709,0.005344010092154874,0.1728145295235255,0.18850985146525637
max,0.999999,0.9586134643856442,0.028474534173834463,0.9557083496005118,0.9610553429536526
