n,accuracy,macro_f1,weighted_f1,log_loss,macro_roc_auc,split,model
507,0.9664694280078896,0.9174602957374138,0.9700805354668088,0.12953631839827448,0.9979755980519002,valid,lgbm_exception_type
507,0.40433925049309666,0.09597378277153558,0.23283580435697981,,,valid,majority_class_baseline
454,0.9515418502202643,0.8691378999491177,0.9539558856534825,0.14492222119171247,0.9972056979836226,test,lgbm_exception_type
454,0.40308370044052866,0.09576138147566719,0.2315991120270541,,,test,majority_class_baseline
